timestamp,owner,repo,stars,forks,watchers,repo_open_issues,open_issues,bugs,security_issues,open_prs,recent_commits,releases,contributors,repo_age_days,days_since_last_push,risk_score,risk_level,compliance_score,compliance_status,health_score,health_status
2026-06-29 18:36:57,grafana,grafana,75174,14153,75174,3525,36,0,0,100,100,100,100,4582,0,65.2,Medium,89.2,Compliant,100.0,Healthy
2026-06-29 18:36:48,elastic,elasticsearch,77194,25837,77194,5880,36,0,0,100,100,100,100,5984,0,65.2,Medium,89.2,Compliant,100.0,Healthy
2026-06-29 18:36:39,redis,redis,75166,24685,75166,2856,32,0,0,100,100,100,100,6308,0,62.4,Medium,90.4,Compliant,100.0,Healthy
2026-06-29 18:36:30,hashicorp,terraform,48804,10369,48804,1907,57,26,0,100,100,100,100,4490,0,183.9,High,30.9,Non-Compliant,45.71,Critical
2026-06-29 18:36:22,ansible,ansible,69082,24096,69082,807,31,23,0,100,100,100,100,5227,1,154.2,High,44.7,Non-Compliant,61.73,Needs Attention
2026-06-29 18:36:13,kubernetes,kubernetes,123508,43298,123508,2745,25,0,0,100,100,100,100,4405,0,57.5,Medium,92.5,Compliant,100.0,Healthy
2026-06-29 18:36:05,pytorch,pytorch,101211,28160,101211,18263,27,0,0,100,100,67,100,3607,0,58.9,Medium,91.9,Compliant,100.0,Healthy
2026-06-29 18:35:55,huggingface,transformers,162012,33629,162012,2443,17,6,0,100,100,100,100,2799,0,75.9,Medium,82.9,Compliant,100.0,Healthy
2026-06-29 18:35:45,pallets,flask,71907,16882,71907,7,1,0,0,6,100,38,100,5928,18,0.0,Low,99.7,Compliant,100.0,Healthy
2026-06-29 18:35:38,angular,angular,100477,27182,100477,1174,25,0,0,100,100,100,100,4301,2,58.5,Medium,92.5,Compliant,100.0,Healthy
2026-06-29 18:35:29,vuejs,vue,210099,33683,210099,635,33,1,0,100,100,100,100,4718,627,167.1,High,88.1,Compliant,69.59,Needs Attention
2026-06-29 18:35:21,facebook,react,246313,51084,246313,1272,22,0,0,100,100,100,100,4783,0,55.4,Medium,93.4,Compliant,100.0,Healthy
2026-06-29 18:35:10,microsoft,vscode,187037,40704,187037,18862,77,3,0,100,100,100,100,3951,0,105.9,Medium,70.9,Partially Compliant,88.91,Healthy
2026-06-29 18:35:01,tensorflow,tensorflow,196115,75186,196115,3038,1,0,0,100,100,100,100,3887,0,40.7,Low,99.7,Compliant,100.0,Healthy
2026-06-29 18:34:53,apache,spark,43521,29258,43521,421,7,0,0,100,100,0,100,4507,0,44.9,Low,97.9,Compliant,100.0,Healthy
2026-06-29 18:34:45,psf,requests,54199,9993,54199,230,37,0,0,86,100,19,100,5614,4,51.1,Medium,88.9,Compliant,100.0,Healthy
2026-06-29 18:34:37,plotly,plotly.py,18641,2816,18641,768,85,48,0,49,100,100,100,4603,6,233.3,High,0.0,Non-Compliant,16.68,Critical
2026-06-29 18:34:28,keras-team,keras,64103,19744,64103,216,22,0,0,78,100,91,100,4111,1,29.5,Low,93.4,Compliant,100.0,Healthy
2026-06-29 18:34:20,fastapi,fastapi,99770,9505,99770,101,1,0,0,100,100,100,100,2760,0,40.7,Low,99.7,Compliant,100.0,Healthy
2026-06-29 18:34:12,django,django,88150,33869,88150,458,0,0,0,100,100,0,100,5175,2,41.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:34:03,scikit-learn,scikit-learn,66628,27121,66628,2104,29,7,0,100,100,50,100,5795,0,88.3,Medium,77.3,Partially Compliant,97.87,Healthy
2026-06-29 18:33:56,numpy,numpy,32405,12497,32405,2405,37,0,0,100,100,100,100,5767,0,65.9,Medium,88.9,Compliant,100.0,Healthy
2026-06-29 18:33:45,pandas-dev,pandas,49233,20057,49233,3040,27,12,0,100,100,100,100,5788,0,106.9,Medium,67.9,Partially Compliant,87.61,Healthy
2026-06-29 18:33:37,streamlit,streamlit,45097,4304,45097,1282,22,0,0,100,100,100,100,2501,0,55.4,Medium,93.4,Compliant,100.0,Healthy
2026-06-29 18:33:27,octocat,Hello-World,3652,6076,3652,6355,89,0,0,100,3,0,3,5632,677,249.3,High,73.3,Partially Compliant,12.27,Critical
2026-06-29 18:33:20,strapi,strapi,72569,9771,72569,559,15,0,0,100,100,100,100,3924,0,50.5,Medium,95.5,Compliant,100.0,Healthy
2026-06-29 18:33:11,nestjs,nest,76119,8330,76119,36,9,0,0,27,100,100,100,3431,0,0.0,Low,97.3,Compliant,100.0,Healthy
2026-06-29 18:33:03,prisma,prisma,46417,2254,46417,2631,42,0,0,100,100,100,100,2565,3,70.9,Medium,87.4,Compliant,100.0,Healthy
2026-06-29 18:32:55,supabase,supabase,105000,12903,105000,1096,11,9,0,100,100,28,100,2452,0,83.7,Medium,78.7,Partially Compliant,100.0,Healthy
2026-06-29 18:32:46,postgres,postgres,21304,5737,21304,0,0,0,0,0,100,0,42,5760,0,0.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:32:40,mongodb,mongo,28411,5782,28411,28,0,0,0,28,100,0,100,6373,0,0.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:32:31,grafana,k6,30903,1567,30903,777,39,9,0,64,100,90,100,3751,0,60.1,Medium,70.3,Partially Compliant,100.0,Healthy
2026-06-29 18:32:20,grafana,loki,28462,4036,28462,1801,0,0,0,100,100,100,100,2996,0,40.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:32:09,elastic,beats,12632,5006,12632,1021,41,4,0,100,100,100,100,4526,0,84.7,Medium,79.7,Partially Compliant,100.0,Healthy
2026-06-29 18:32:00,elastic,kibana,21160,8595,21160,14692,46,5,0,100,100,100,100,4902,0,92.2,Medium,76.2,Partially Compliant,95.98,Healthy
2026-06-29 18:31:50,hashicorp,consul,29969,4612,29969,1373,45,0,0,68,100,100,100,4619,0,33.1,Low,86.5,Compliant,100.0,Healthy
2026-06-29 18:31:41,hashicorp,vault,35848,4706,35848,1516,51,22,0,100,100,100,100,4142,0,163.7,High,40.7,Non-Compliant,56.73,Needs Attention
2026-06-29 18:31:30,envoyproxy,envoy,28489,5461,28489,1831,35,6,0,100,100,100,100,3611,0,88.5,Medium,77.5,Partially Compliant,97.85,Healthy
2026-06-29 18:31:21,istio,istio,38247,8339,38247,473,51,0,0,78,100,100,100,3509,0,49.3,Low,84.7,Compliant,100.0,Healthy
2026-06-29 18:31:10,helm,helm,29925,7679,29925,405,32,4,0,100,100,100,100,3919,4,80.4,Medium,82.4,Compliant,100.0,Healthy
2026-06-29 18:31:00,gitlabhq,gitlabhq,24477,5801,24477,36,0,0,0,15,100,0,100,5383,0,0.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:30:52,jenkinsci,jenkins,25516,9543,25516,3594,46,0,0,100,100,100,100,5697,0,72.2,Medium,86.2,Compliant,100.0,Healthy
2026-06-29 18:30:43,prometheus,prometheus,64837,10537,64837,849,22,0,0,100,100,100,100,4965,0,55.4,Medium,93.4,Compliant,100.0,Healthy
2026-06-29 18:30:33,ansible,awx,15467,3655,15467,1847,39,0,0,100,100,64,100,3329,3,68.8,Medium,88.3,Compliant,100.0,Healthy
2026-06-29 18:30:24,home-assistant,core,88055,37771,88055,3311,51,0,0,100,100,100,100,4668,0,75.7,Medium,84.7,Compliant,100.0,Healthy
2026-06-29 18:30:14,pypa,pip,10218,3303,10218,1046,50,0,0,100,100,0,100,5593,1,75.5,Medium,85.0,Compliant,100.0,Healthy
2026-06-29 18:30:05,pytest-dev,pytest,14278,3213,14278,964,39,0,0,100,100,84,100,4031,0,67.3,Medium,88.3,Compliant,100.0,Healthy
2026-06-29 18:29:55,ipython,ipython,16730,4491,16730,1587,66,0,0,41,100,29,100,5894,3,16.9,Low,80.2,Compliant,100.0,Healthy
2026-06-29 18:29:48,jupyterlab,jupyterlab,15218,4027,15218,2554,47,20,0,100,100,100,100,3677,0,152.9,High,45.9,Non-Compliant,62.61,Needs Attention
2026-06-29 18:29:33,scipy,scipy,14787,5775,14787,1827,29,0,0,100,100,100,100,5590,0,60.3,Medium,91.3,Compliant,100.0,Healthy
2026-06-29 18:29:22,matplotlib,matplotlib,22939,8362,22939,1462,44,0,0,100,100,100,100,5609,1,71.3,Medium,86.8,Compliant,100.0,Healthy
2026-06-29 18:29:12,opencv,opencv,89444,56661,89444,2727,32,13,0,100,100,68,100,5093,0,114.4,Medium,64.4,Partially Compliant,83.56,Healthy
2026-06-29 18:29:04,storybookjs,storybook,90469,10153,90469,1755,29,17,0,100,100,100,100,3755,0,128.3,Medium,57.3,Partially Compliant,75.87,Needs Attention
2026-06-29 18:28:55,vitejs,vite,81690,8361,81690,755,29,0,0,100,100,100,100,2260,0,60.3,Medium,91.3,Compliant,100.0,Healthy
2026-06-29 18:28:47,webpack,webpack,65850,9346,65850,171,43,4,0,83,100,100,100,5224,0,65.7,Medium,79.1,Partially Compliant,100.0,Healthy
2026-06-29 18:28:38,electron,electron,121831,17277,121831,886,47,0,0,100,100,100,100,4826,0,72.9,Medium,85.9,Compliant,100.0,Healthy
2026-06-29 18:28:26,microsoft,playwright,91874,5997,91874,168,76,0,0,25,100,100,100,2417,0,3.2,Low,77.2,Partially Compliant,100.0,Healthy
2026-06-29 18:28:18,microsoft,PowerToys,135860,8172,135860,7327,77,0,0,100,100,100,100,2615,0,93.9,Medium,76.9,Partially Compliant,95.51,Healthy
2026-06-29 18:28:07,microsoft,terminal,103740,9380,103740,1732,60,0,0,75,100,100,100,3243,3,53.5,Medium,82.0,Compliant,100.0,Healthy
2026-06-29 18:27:57,microsoft,TypeScript,109430,13450,109430,5047,82,30,0,28,100,100,100,4394,0,131.0,Medium,15.4,Non-Compliant,62.22,Needs Attention
2026-06-29 18:27:49,tailwindlabs,tailwindcss,95793,5308,95793,66,40,1,0,26,100,100,100,3187,0,0.0,Low,86.0,Compliant,100.0,Healthy
2026-06-29 18:27:41,sveltejs,svelte,87589,4962,87589,1057,53,0,0,100,100,100,100,3507,0,77.1,Medium,84.1,Compliant,100.0,Healthy
2026-06-29 18:27:33,vercel,next.js,140437,31278,140437,4155,11,0,0,100,100,100,100,3553,0,47.7,Low,96.7,Compliant,100.0,Healthy
2026-06-29 18:27:26,denoland,deno,107381,6095,107381,1334,43,0,0,100,100,100,100,2967,0,70.1,Medium,87.1,Compliant,100.0,Healthy
2026-06-29 18:27:16,nodejs,node,118154,35788,118154,2358,26,0,0,100,100,100,100,4232,0,58.2,Medium,92.2,Compliant,100.0,Healthy
2026-06-29 18:27:07,golang,go,135118,19001,135118,10164,85,0,4,100,100,0,100,4332,2,140.5,Medium,34.5,Non-Compliant,64.15,Needs Attention
2026-06-29 18:26:59,rust-lang,rust,114421,15018,114421,12536,35,0,0,100,100,100,100,5856,0,64.5,Medium,89.5,Compliant,100.0,Healthy
2026-06-29 18:26:50,apache,beam,8624,4596,8624,4034,24,6,0,100,100,59,100,3800,0,80.8,Medium,80.8,Compliant,100.0,Healthy
2026-06-29 18:26:41,apache,superset,73583,17748,73583,914,8,0,0,100,100,100,100,3995,0,45.6,Low,97.6,Compliant,100.0,Healthy
2026-06-29 18:26:32,apache,hadoop,15585,9227,15585,157,0,0,0,100,100,0,100,4323,2,41.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:26:24,apache,kafka,33019,15310,33019,420,0,0,0,100,100,0,100,5431,0,40.0,Low,100.0,Compliant,100.0,Healthy
2026-06-29 18:26:17,apache,airflow,45968,17306,45968,1699,25,0,1,100,100,100,100,4094,0,67.5,Medium,82.5,Compliant,100.0,Healthy
